term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.08465638763312003,0.0065866633840694095,-374.8718539165012,0,0.08323978724530355,0.0860989173898961
`Holiday (report)`,0.6719751230012306,0.01572773364552426,-25.275984922389366,5.8684230760944e-141,0.6454654828555066,0.6996799152052711
`Ban of mass gatherings`,0.7623370550363849,0.024133568517987543,-11.244358307309081,2.4688547907855599e-29,0.7173211659009748,0.810247528309025
`School and kindergarten closures`,1.0888017640998235,0.03232083573064069,2.632289377873028,0.008481159105867948,0.9998010128171206,1.1859123837286263
`Contact restrictions`,0.8348160485643972,0.013930792639592604,-12.96005792294244,2.0609185214810823e-38,0.805275973629068,0.8654247652473969
`Shop closures`,0.813307258425992,0.01859898676406613,-11.110621874760533,1.1138111368511283e-28,0.7743598241147721,0.8541446130367908
`Holiday (exposure)`,1.0099810609823225,0.02112377567627708,0.4701611741625865,0.6382398709416546,0.9574188003239911,1.0654779701562083
`Mobility (retail and recreation)`,1.3543248717906498,0.017815413447837915,17.02475676195425,5.381562923629397e-65,1.2934140216135452,1.4181998717309627
`Mobility (grocery and pharmacy)`,1.029897012588845,0.009103931413810414,3.235833853045586,0.0012128795890810839,1.0062874224660514,1.0540327376216025
`Mobility (parks)`,0.8069003366398836,0.00935570039305158,-22.933089764783436,2.173422400130468e-116,0.7876599499073825,0.8265935195660816
`Mobility (transit stations)`,1.1961996124615148,0.01651164957229793,10.849887582048382,1.996707764325155e-27,1.1462393282139485,1.2483377785779664
`Mobility (workplaces)`,0.7851489749355486,0.015282129113003504,-15.82775544091739,2.0023769987599091e-56,0.7549476924210583,0.8165338214915464
`Mobility (residential)`,0.99315399299297,0.018973879359888222,-0.36205291956013075,0.7173124850128092,0.9461944231696049,1.04244141323593
Rainfall,1.0186269366788203,0.005576930441325938,3.309272030253393,9.353890606346733e-4,1.004082287734937,1.0333999944401193
Wind,1.0009715283815057,0.005234052755809462,0.1855267416194841,0.8528159075532937,0.9876070631170888,1.0145287403756438
`Indoor humidity`,0.9386483159831563,0.008083915924489182,-7.832144827912273,4.7961658355211104e-15,0.9192649136065114,0.9584499545327463
`Searches corona`,1.377223439729552,0.007022841184352514,45.57549626706988,0,1.3523518865250366,1.4025885677371577
`Socio-economic status`,0.961660697123916,0.009683768524236469,-4.037022996394913,5.413376427565185e-5,0.9380047690928021,0.9859132173041636
`Age (pop. 65 and older)`,0.9775398077398,0.00907752312631762,-2.5024738141918856,0.012332874842903437,0.9549990186921267,1.0006005206244601
`Foreign citizens`,1.010143421522946,0.009127847971473488,1.105662836554269,0.2688724811681209,0.9867495181737298,1.0341088714946967
`Foreign citizens (refugees)`,0.992680358038147,0.005541463200331299,-1.325744071415463,0.18492448408710938,0.9788399790258865,1.0067897578056375
Turnout,0.9675105238205014,0.007810593126892775,-4.2287411809717526,2.350025034924571e-5,0.9483339438761217,0.9870749062310967
`Right-wing populist party votes`,0.9811349333041494,0.006847169206716379,-2.7814826257670826,0.0054111226973147545,0.9640831893829896,0.9984959497800348
`Population density`,1.0003508483396941,0.008573973843375675,0.040912978417644366,0.9673652708301418,0.978552192711233,1.02265891744104
Gender,1.0100573507182091,0.006024619837648591,1.661036281137788,0.09670616026442601,0.9945348392234493,1.0258219631092753
`Age (pop. younger 18)`,0.9851699845304586,0.007260499511002704,-2.0578583538317567,0.03960373251347742,0.9669733005231013,1.0037065100732707
`Nursing homes`,1.0045324667593438,0.00494526877025624,0.9144550628193162,0.36047778006724573,0.9918788716043766,1.0174251540577326
`COVID-19 burden`,0.907066280209235,0.007960162812630288,-12.253487463411808,1.609238408398318e-34,0.8877516415966485,0.9266702747396716
`Active cases`,1.0000844850277062,7.438086395120146e-6,11.357956140790415,6.771022695035981e-30,1.000063626473814,1.0001057349811018
`Weekday (report)`2Sa,0.7263146065671271,0.008656246367118245,-36.94118698593902,1.008899201674606e-298,0.7104254411924779,0.742559532510826
`Weekday (report)`3So,0.4765185574761495,0.010994324578472511,-67.42102308969702,0,0.46337915707972227,0.49003311053455817
`Weekday (report)`4Mo,0.7940989732856314,0.01205202812578551,-19.129325919581557,1.4392314174888713e-81,0.7701227568130378,0.8188219281039035
`Weekday (report)`5Di,0.9683921636432696,0.008639210650570623,-3.7177176614937255,2.0103076082201457e-4,0.9471752858857945,0.9900828269078995
`Weekday (report)`6Mi,1.1380904090382322,0.008455750536246958,15.297492226866238,7.945986100621539e-53,1.1137095130188623,1.1630039934055467
`Weekday (report)`7Do,1.0763710208995467,0.008366288010963507,8.796639222859396,1.4097463293618615e-18,1.0535208820962765,1.0997152560887105
